age;min.Rost;max.Rost;min.Ves;max.Ves;min.R50;max.R50;min.X50;max.X50;min.IMT;max.IMT;min.Phi_calc;max.Phi_calc;min.FM;max.FM;min.FM_per;max.FM_per
55.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
56.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
57.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
58.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
59.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
60.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
61.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
62.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
63.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
64.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
65.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
66.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
67.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
68.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
69.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
70.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
71.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
72.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
73.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
74.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
75.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
76.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
77.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
78.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
79.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
80.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
81.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
82.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
83.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
84.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
85.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
86.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
87.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
88.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
89.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
90.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
91.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
92.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
93.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
94.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
95.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
96.00;130;210.00;35;150.00;250.00;1000;20.00;150.00;12.00;55;3.00;10.20;0.50;75;0.00;55.00
97.00;;;;150.00;;;;;;55;;;;;;
98.00;;;;150.00;;;;;;;;;;;;
99.00;;;;150.00;;;;;;;;;;;;
100.00;;;;150.00;;;;;;;;;;;;
